subtotal,gst,tax,total_amount,amount_difference,duplicate,missing_fields,fraud
416482,74966,8329,499777,0,0,2,1
364224,65560,7284,437068,0,1,3,1
240120,43221,4802,288143,0,0,0,0
393258,70786,7865,471909,0,0,1,0
71943,12949,1438,86330,0,1,0,1
168546,30338,3370,202254,0,0,1,0
107264,19307,2145,128716,0,0,0,0
110675,19921,2213,132809,0,0,0,0
320347,57662,6406,389581,5166,1,0,1
256163,46109,5123,307395,0,0,0,0
156739,28213,3134,188086,0,0,1,0
143360,25804,2867,185772,13741,0,0,1
445714,80228,8914,534856,0,1,0,0
219348,39482,4386,263216,0,0,1,0
219549,39518,4390,263457,0,0,0,0
427214,76898,8544,512656,0,0,1,1
244068,43932,4881,292881,0,0,0,0
383698,69065,7673,460436,0,1,0,0
105295,18953,2105,149301,22948,0,0,1
200028,36005,4000,240033,0,1,0,0
424289,76372,8485,509146,0,1,0,0
123469,22224,2469,148162,0,1,0,1
64736,11652,1294,77682,0,1,0,1
47287,8511,945,56743,0,1,1,0
494876,89077,9897,593850,0,0,0,0
409545,73718,8190,491453,0,0,0,0
199771,35958,3995,239724,0,1,1,1
448291,80692,8965,537948,0,0,1,0
103294,18592,2065,123951,0,0,0,0
112732,20291,2254,135277,0,0,0,0
174672,31440,3493,209605,0,0,0,0
70569,12702,1411,84682,0,0,1,0
93899,16901,1877,112677,0,1,0,1
465820,83847,9316,558983,0,0,0,0
417248,75104,8344,500696,0,0,1,0
128472,23124,2569,154165,0,0,0,0
193737,34872,3874,232483,0,1,1,0
491457,88462,9829,589748,0,0,0,0
375011,67501,7500,450012,0,0,1,0
424654,76437,8493,509584,0,0,0,0
404909,72883,8098,485890,0,1,0,0
334036,60126,6680,400842,0,0,0,0
492092,88576,9841,590509,0,0,0,0
293189,52774,5863,351826,0,0,0,0
431953,77751,8639,541579,23236,0,1,1
233122,41961,4662,279745,0,0,0,0
386379,69548,7727,463654,0,0,0,0
72001,12960,1440,86401,0,0,0,0
341811,61525,6836,410172,0,1,0,0
297741,53593,5954,357288,0,0,0,0
311899,56141,6237,374277,0,0,0,0
114757,20656,2295,137708,0,0,0,0
478144,86065,9562,659307,85536,0,0,1
319802,57564,6396,383762,0,0,1,0
450105,81018,9002,540125,0,1,0,0
152800,27504,3056,183360,0,0,1,0
339182,61052,6783,481191,74174,0,0,1
475086,85515,9501,570102,0,0,0,0
172486,31047,3449,261562,54580,1,0,1
152587,27465,3051,183103,0,1,0,0
393317,70797,7866,471980,0,1,0,1
352293,63412,7045,422750,0,0,0,0
499040,89827,9980,598847,0,1,0,0
418129,75263,8362,501754,0,1,0,1
94043,16927,1880,112850,0,0,0,0
278133,50063,5562,333758,0,0,1,0
140433,25277,2808,168518,0,1,1,0
28509,5131,570,34210,0,0,0,0
236490,42568,4729,283787,0,1,0,1
65665,11819,1313,78797,0,0,0,0
371831,66929,7436,446196,0,1,0,0
370413,66674,7408,444495,0,0,0,0
334840,60271,6696,412732,10925,0,0,1
356096,64097,7121,427314,0,1,0,1
348524,62734,6970,418228,0,0,0,0
71897,12941,1437,86275,0,1,1,1
486016,87482,9720,583218,0,1,0,0
389872,70176,7797,467845,0,0,0,0
174896,31481,3497,209874,0,0,1,0
124656,22438,2493,149587,0,1,1,0
104770,18858,2095,125723,0,0,1,0
70215,12638,1404,84257,0,0,0,0
237447,42740,4748,284935,0,0,0,0
97175,17491,1943,197033,80424,0,1,1
277674,49981,5553,333208,0,0,1,1
453001,81540,9060,543601,0,0,1,0
398941,71809,7978,478728,0,1,0,0
383457,69022,7669,514001,53853,0,1,1
325858,58654,6517,391029,0,1,0,1
263689,47464,5273,316426,0,0,1,0
35021,6303,700,42024,0,0,0,0
251449,45260,5028,301737,0,1,0,1
